,id,country,ccode,year,region,protest,protestnumber,protesterviolence,location,participants_category,participants,protesteridentity,arrests,accomodation,beatings,crowddispersal,ignore,killings,no_response,shootings,labor_wage_dispute,land_farm_issue,no_demands,police_brutality,political_behavior_process,price increases_tax_policy,removal_of_politician,social_restrictions,start_date,end_date
0,201990001,Canada,20,1990,North America,1,1,0.0,national,,1000s,unspecified,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,0,1990-01-15,1990-01-15
1,201990002,Canada,20,1990,North America,1,2,0.0,"Montreal, Quebec",,1000,unspecified,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,1990-06-25,1990-06-25
2,201990003,Canada,20,1990,North America,1,3,0.0,"Montreal, Quebec",,500,separatist parti quebecois,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,1990-07-01,1990-07-01
3,201990004,Canada,20,1990,North America,1,4,1.0,"Montreal, Quebec",,100s,mohawk indians,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1990-07-12,1990-09-06
4,201990005,Canada,20,1990,North America,1,5,1.0,"Montreal, Quebec",,950,local residents,1,1,0,1,0,0,1,0,0,0,3,0,1,0,0,0,1990-08-14,1990-08-15
5,201990006,Canada,20,1990,North America,1,6,0.0,"Kahnawake Reservation near Montreal, Quebec",,200,mohawk indians,0,0,0,1,0,0,1,1,0,0,3,1,0,0,0,0,1990-09-19,1990-09-19
6,201991001,Canada,20,1991,North America,1,1,0.0,national,,110000,public service alliance of canada,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,1991-09-10,1991-09-17
7,201991002,Canada,20,1991,North America,1,2,0.0,national,,110000,public service alliance of canada,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,1991-09-28,1991-10-02
8,201992001,Canada,20,1992,North America,1,1,1.0,Toronto,,1000,gangs of black and white youths,1,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,1992-05-04,1992-05-05
9,201993001,Canada,20,1993,North America,1,1,0.0,Ottawa,,10000s,unspecified,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,1993-05-16,1993-05-16
10,201993002,Canada,20,1993,North America,1,2,0.0,"Clayoquot Sound, British Columbia",,100s,environmental activitists,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1993-07-01,1993-08-31
11,201994001,Canada,20,1994,North America,1,1,0.0,Ottawa,,10000,gun owners and supporters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,1994-09-01,1994-09-01
12,201994002,Canada,20,1994,North America,1,2,0.0,Ottawa,,6000,students,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,1994-11-18,1994-11-18
13,201995001,Canada,20,1995,North America,1,1,0.0,"Pickering, Ontario",,3000,unspecified,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,1995-02-20,1995-02-20
14,201995002,Canada,20,1995,North America,1,2,1.0,"Ipperwash Provincial Park, Ontario",,100s,chippewa indians,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,1995-09-08,1995-09-08
15,201996001,Canada,20,1996,North America,1,1,0.0,"Toronto, Ontario",,1000s,labor unions,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,1996-10-26,1996-10-26
