,country,prosperity_2020
0,Afghanistan,34.350054846
1,Albania,59.5736356615
2,Algeria,51.8691196784
3,Angola,38.8168560929
4,Argentina,60.4873545023
5,Armenia,61.40723638
7,Austria,80.4297671422
8,Azerbaijan,57.6911096055
9,Bahrain,61.3105894263
10,Bangladesh,46.9140241116
11,Belarus,59.3347909919
12,Belgium,76.1340253065
14,Benin,46.8189184959
15,Bolivia,52.2758643751
16,Bosnia,57.9982726165
17,Botswana,57.0935725709
18,Brazil,59.3074818941
19,Bulgaria,64.3996892048
20,Burkina Faso,44.8240979062
21,Burundi,37.3046009336
22,Cape Verde,58.1712068974
23,Cambodia,48.5489738778
24,Cameroon,41.4467344254
25,Canada,79.819702831
26,Central African Republic,31.3620761016
27,Chad,32.5086334179
28,Chile,68.3926772306
29,China,61.4917360946
30,Colombia,58.193130523
31,Comoros,46.3274173614
32,Congo Brazzaville,41.2141589629
33,Costa Rica,68.3373819368
34,Croatia,66.6094440755
35,Cuba,53.3184160468
36,Cyprus,70.316970583
37,Czech Republic,73.1246122718
38,Ivory Coast,47.3093002617
39,Congo Kinshasa,34.5532343641
40,Denmark,84.3681172653
41,Djibouti,48.1568244388
42,Dominican Republic,58.704805964
43,Ecuador,56.1173741658
44,Egypt,47.984285264
45,El Salvador,54.9903741364
46,Equatorial Guinea,45.7714361484
47,Eritrea,34.9404560346
48,Estonia,76.8914622453
49,Swaziland,45.658810673
50,Ethiopia,41.8055706826
51,Finland,83.0527258628
52,France,76.5479480819
53,Gabon,47.9224786517
54,Georgia,61.815783649
55,Germany,81.0712353446
56,Ghana,53.8105733608
57,Greece,67.3249546651
58,Guatemala,53.5796446961
59,Guinea,44.0317106296
60,Guinea-Bissau,42.054029465
61,Guyana,55.8717005949
62,Haiti,39.2808751002
63,Honduras,52.2130414601
65,Hungary,66.1251728217
67,India,53.6403528378
68,Indonesia,61.1039055041
69,Iran,48.1226134702
70,Iraq,44.5574541543
71,Ireland,80.1760440096
73,Italy,71.833298427
74,Jamaica,59.9379273497
75,Japan,77.2741658918
76,Jordan,56.5880315084
77,Kazakhstan,60.573860455
78,Kenya,50.9885613203
79,Kuwait,61.0166069035
80,Kyrgyzstan,55.9932232016
81,Laos,49.9198811731
82,Latvia,71.0071448737
83,Lebanon,52.9957107917
84,Lesotho,46.0613756985
85,Liberia,44.0197908352
86,Libya,41.8710605636
87,Lithuania,70.2363124285
88,Luxembourg,81.0169388925
89,Madagascar,44.8132903739
90,Malawi,45.7418969722
91,Malaysia,67.4913272545
92,Mali,41.9000814107
94,Mauritania,40.2776404726
95,Mauritius,66.5792636921
96,Mexico,59.5264849318
97,Moldova,57.1275574981
98,Mongolia,56.733171175
99,Montenegro,63.6762913304
100,Morocco,54.8647702736
101,Mozambique,42.9842065523
102,Myanmar,46.7792974983
103,Namibia,56.1606851147
104,Nepal,50.4483358507
105,Netherlands,82.0376177514
107,Nicaragua,51.3809740907
108,Niger,41.2004356384
109,Nigeria,42.9203112918
110,Macedonia,61.0135495873
111,Norway,83.8147995593
112,Oman,59.683613691
113,Pakistan,44.2519235971
114,Panama,63.8910621337
115,Papua New Guinea,46.0652031188
116,Paraguay,57.4686773884
117,Peru,60.6671479015
118,Philippines,56.9007242872
119,Poland,69.1394311357
120,Portugal,74.0744235761
121,Qatar,66.4553198989
122,Romania,64.9180615375
123,Russia,58.0383696135
124,Rwanda,53.2515644501
125,Saudi Arabia,59.0121685173
126,Senegal,51.5605180759
127,Serbia,62.4709908341
129,Sierra Leone,42.5658760974
130,Singapore,79.5124080413
131,Slovak Republic,69.625246149
132,Slovenia,74.5631495377
133,Somalia,34.0627466652
134,South Africa,56.4302164625
135,South Korea,73.4386051236
136,South Sudan,27.888813315
137,Spain,75.8365212244
138,Sri Lanka,56.8818073605
139,Sudan,36.5680541969
140,Suriname,57.1051445971
141,Sweden,83.1459533905
142,Switzerland,83.3487060813
143,Syria,37.0724289586
145,Taiwan,77.1496171924
146,Tajikistan,51.2618277205
147,Tanzania,48.5737199379
148,Thailand,60.4111060399
149,Gambia,49.6619731305
150,Togo,44.029638664
152,Tunisia,54.0594740635
153,Turkey,54.9415706098
154,Turkmenistan,51.6387126416
155,Uganda,45.6698739721
156,Ukraine,55.7337890396
157,United Arab Emirate,67.1086879731
158,United Kingdom,80.0654420378
160,Uruguay,68.2411434237
161,Uzbekistan,54.367116815
162,Venezuela,42.0857254891
163,Vietnam,58.2763438377
164,Yemen,31.8686303144
165,Zambia,47.5096842138
166,Zimbabwe,42.9775872341
167,Czechoslovakia,73.1246122718
168,Germany East,81.0712353446
169,Germany West,81.0712353446
170,Kosovo,62.4709908341
171,North Korea,44.35169031571533
172,Serbia and Montenegro,63.07364108225
173,Timor Leste,61.1039055041
174,USSR,58.0383696135
175,Yugoslavia,64.38861633025
