region,country,prosperity_2020,protesterviolence,partipants_number,pop_density,pop_total,labor_wage_dispute,land_farm_issue,police_brutality,political_behavior_process,price increases_tax_policy,removal_of_politician,social_restrictions,arrests,accomodation,beatings,crowddispersal,ignore,killings,shootings,protest_duration,violent_response,violent_count
Africa,Angola,38.8168560929,3.0,33800,412.94,514806.7940000001,3,3,2,10,4,2,1,7,0,4,7,12,2,1,24,6,7
Africa,Benin,46.8189184959,6.0,180163,5251.5400000000045,592164.481,4,0,1,55,1,1,0,4,4,3,36,21,1,1,65,4,5
Africa,Botswana,57.0935725709,11.0,67950,100.204,56792.618000000024,8,0,1,24,2,4,1,4,5,2,8,18,1,0,43,2,3
Africa,Burkina Faso,44.8240979062,29.0,120130,3707.793999999998,1014451.0510000003,13,0,5,41,17,5,0,12,16,1,29,29,5,8,83,8,14
Africa,Burundi,37.3046009336,35.0,111390,32214.499999999975,827268.3119999995,2,2,7,86,0,50,6,18,4,5,58,31,9,14,124,21,28
Africa,Cameroon,41.4467344254,24.0,112071,2247.9540000000006,1062631.2070000002,4,0,6,49,2,6,6,21,3,10,35,13,9,7,68,17,26
Africa,Cape Verde,58.1712068974,1.0,1000,229.794,926.068,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0
Africa,Central African Republic,31.3620761016,24.0,150276,377.54599999999994,235204.4640000001,23,0,11,27,0,8,2,8,5,3,26,24,8,20,72,22,31
Africa,Chad,32.5086334179,10.0,21150,144.64999999999998,182145.552,4,0,0,15,0,1,0,4,1,1,10,1,5,7,17,7,13
Africa,Comoros,46.3274173614,50.0,33210,27872.498999999974,51870.74200000001,9,0,3,67,6,28,0,19,5,4,52,20,4,15,95,17,23
Africa,Congo Brazzaville,41.2141589629,21.0,17350,345.1390000000001,117864.53599999998,8,0,0,27,0,7,0,3,2,1,17,11,4,7,41,8,12
Africa,Congo Kinshasa,34.5532343641,34.0,52250,2151.0049999999997,4876442.387000002,5,0,4,64,1,9,1,22,4,6,41,23,23,24,87,32,53
Africa,Djibouti,48.1568244388,6.0,4550,313.874,7275.575000000001,1,1,0,5,1,1,2,5,0,2,7,1,4,3,12,7,9
Africa,Equatorial Guinea,45.7714361484,0.0,610,92.424,2592.4979999999996,1,0,0,3,0,1,0,2,0,1,1,2,1,0,4,1,2
Africa,Eritrea,34.940456034600004,1.0,550,89.79299999999999,9069.068,0,0,0,2,0,0,1,2,1,0,1,0,0,0,5,0,0
Africa,Ethiopia,41.8055706826,21.0,564950,3444.494999999999,3444500.7450000006,0,10,2,32,2,2,1,10,7,6,10,12,16,7,53,19,29
Africa,Gabon,47.922478651700004,23.0,21450,181.90100000000004,46871.386,6,1,1,24,1,5,1,9,2,3,23,11,5,4,63,9,12
Africa,Gambia,49.6619731305,6.0,13760,4222.556999999999,42732.255999999994,1,5,5,11,1,2,0,6,1,2,11,9,4,3,24,6,9
Africa,Ghana,53.8105733608,24.0,72650,7056.6969999999965,1605681.2439999992,11,4,3,32,21,4,0,5,13,0,24,32,1,6,73,6,7
Africa,Guinea,44.0317106296,72.0,2849550,4728.3449999999975,1161849.1489999995,10,0,10,83,6,20,1,25,7,20,76,16,40,39,222,53,99
Africa,Guinea-Bissau,42.054029465,12.0,33320,1655.8679999999993,46563.15,7,0,0,19,2,6,0,3,6,1,13,14,3,3,35,4,7
Africa,Ivory Coast,47.3093002617,54.0,338550,6023.108999999995,1915347.9590000005,27,0,13,69,7,7,0,14,5,16,52,49,9,11,148,27,36
Africa,Kenya,50.9885613203,106.0,324663,26847.337000000003,15279916.371999923,73,53,50,200,28,42,9,32,75,25,147,155,25,44,451,62,94
Africa,Lesotho,46.0613756985,10.0,67100,2155.109999999999,65429.09000000002,5,0,1,24,0,8,0,3,8,2,8,14,3,7,86,8,12
Africa,Liberia,44.019790835200006,31.0,73115,2753.2800000000007,265195.5129999999,19,1,3,37,6,7,3,11,16,6,37,25,3,2,81,8,11
Africa,Madagascar,44.8132903739,29.0,2928100,4067.0049999999965,2366160.9640000025,6,2,1,56,2,64,0,12,51,2,19,30,14,14,215,18,30
Africa,Malawi,45.7418969722,30.0,221622,9698.829000000002,914405.1179999996,8,3,5,41,5,10,3,15,3,4,39,23,8,13,69,17,25
Africa,Mali,41.900081410700004,18.0,497540,635.805,775801.1460000003,2,0,3,49,1,11,1,6,8,1,20,36,8,6,95,9,15
Africa,Mauritania,40.277640472600005,18.0,81508,257.58399999999995,265492.23699999996,4,1,1,74,6,1,2,11,1,5,47,37,1,2,95,8,8
